loan_id,segment,observation_month,outstanding_balance,dpd,collateral_type,collateral_value,cash_received_collateral,cash_received_other,recovery_cost_incurred,default_flag,write_off_flag,market_price,credit_spread_bps,pre_default_pd
L00001,retail_mortgage,2015-10,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2015-11,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2015-12,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-01,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-02,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-03,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-04,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-05,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-06,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-07,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-08,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-09,162882.72,30,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-10,162882.72,60,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-11,162882.72,90,residential_real_estate,177236.36,0.0,0.0,0.0,True,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2016-12,162882.72,60,residential_real_estate,177236.36,0.0,0.0,0.0,True,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2017-01,162882.72,30,residential_real_estate,177236.36,0.0,0.0,1534.33,True,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2017-02,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2017-03,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00001,retail_mortgage,2017-04,162882.72,0,residential_real_estate,177236.36,0.0,0.0,0.0,False,False,0.8521,31.3,0.0107
L00002,retail_mortgage,2016-06,218105.71,0,residential_real_estate,232786.53,0.0,0.0,0.0,False,False,0.3094,36.0,0.0139
L00002,retail_mortgage,2016-07,218105.71,0,residential_real_estate,232786.53,0.0,0.0,0.0,False,False,0.3094,36.0,0.0139
L00002,retail_mortgage,2016-08,218105.71,0,residential_real_estate,232786.53,0.0,0.0,0.0,False,False,0.3094,36.0,0.0139
L00002,retail_mortgage,2016-09,218105.71,0,residential_real_estate,232786.53,0.0,0.0,0.0,False,False,0.3094,36.0,0.0139
L00002,retail_mortgage,2016-10,218105.71,0,residential_real_estate,232786.53,0.0,0.0,0.0,False,False,0.3094,36.0,0.0139
